"ambito","producto","hogares_expandidos","hogares_totales_expandidos","share_hogares"
"Amazonía/Oriente","Tomate riñón",159562,272708,0.5851
"Amazonía/Oriente","Cebolla paiteña",154036,272708,0.5648
"Amazonía/Oriente","Pan común blanco",136273,272708,0.4997
"Amazonía/Oriente","Huevos",128437,272708,0.471
"Amazonía/Oriente","Plátano verde",126555,272708,0.4641
"Amazonía/Oriente","Leche entera en funda",106552,272708,0.3907
"Amazonía/Oriente","Pimiento verde",87037,272708,0.3192
"Amazonía/Oriente","Papa chola",79344,272708,0.2909
"Amazonía/Oriente","Yuca",76295,272708,0.2798
"Amazonía/Oriente","Plátano maduro",36018,272708,0.1321
"Costa","Cebolla paiteña",1919557,2616396,0.7337
"Costa","Tomate riñón",1886363,2616396,0.721
"Costa","Papa chola",1560270,2616396,0.5963
"Costa","Pan común blanco",1546724,2616396,0.5912
"Costa","Pimiento verde",1540169,2616396,0.5887
"Costa","Huevos",1521539,2616396,0.5815
"Costa","Leche entera en funda",1426283,2616396,0.5451
"Costa","Plátano verde",1178908,2616396,0.4506
"Costa","Yuca",488662,2616396,0.1868
"Costa","Plátano maduro",269966,2616396,0.1032
"Nacional","Tomate riñón",3430493,5283967,0.6492
"Nacional","Pan común blanco",3400932,5283967,0.6436
"Nacional","Cebolla paiteña",3319442,5283967,0.6282
"Nacional","Huevos",2930159,5283967,0.5545
"Nacional","Leche entera en funda",2754162,5283967,0.5212
"Nacional","Pimiento verde",2353604,5283967,0.4454
"Nacional","Papa chola",2317240,5283967,0.4385
"Nacional","Plátano verde",1910883,5283967,0.3616
"Nacional","Yuca",790065,5283967,0.1495
"Nacional","Plátano maduro",732373,5283967,0.1386
"Sierra","Pan común blanco",1717935,2394863,0.7173
"Sierra","Tomate riñón",1384568,2394863,0.5781
"Sierra","Huevos",1280183,2394863,0.5346
"Sierra","Cebolla paiteña",1245849,2394863,0.5202
"Sierra","Leche entera en funda",1221327,2394863,0.51
"Sierra","Pimiento verde",726398,2394863,0.3033
"Sierra","Papa chola",677626,2394863,0.2829
"Sierra","Plátano verde",605420,2394863,0.2528
"Sierra","Plátano maduro",426389,2394863,0.178
"Sierra","Yuca",225107,2394863,0.094
